,RumorDate,CREDIBILITY,RELIABILITY,MARKETCAP,LASTTRADE,WEEKHIGH52,WEEKLOW52,CASH,EPS,PE,GROSSMARGINS,NETMARGINS,AVERAGEVOLUME,diff_target_SP500_price_move_10,diff_target_SP500_price_move_5,diff_target_SP500_price_move_3,target_price_move_3,target_price_move_5,target_price_move_10,"[-2,-1]","[-1,0]","[0,1]","[1,2]","[2,3]","[3,4]","[4,5]","[5,6]","[6,7]","[7,8]","[8,9]","[9,10]"
0,2015-06-19,0.013017751479290018,0.46273344175873476,0.0018673412444702407,0.20199548912420195,0.017583612797969727,0.060213695457655654,0.006358819076457231,0.2007370142925028,0.004009527093789699,0.6802089378990134,0.5031217481789803,0.002178156993525991,0.07721375120633556,0.05338521300567872,0.0811811506756362,0.04586916270673158,0.13049432194011834,0.06471628412344177,0.0,0.0,0.073974655,0.179786504,0.25569636100000004,0.28653474,0.204007741,0.0,0.0,0.0,0.0,0.0
1,2016-10-25,0.5384615384615385,0.9198025909932142,0.00043591376876141175,0.06215833938606214,0.03222307997637183,0.30114742881204276,0.015291445874337624,0.2002435391307526,0.003134006471705495,0.6807893209518282,0.10197710718002073,0.00515745542113925,0.06966348907331173,0.049451110957932476,0.07898702939036578,0.07404660033375215,0.1496415277492267,0.09274293008485503,0.0,0.0,0.073974655,0.179786504,0.25569636100000004,0.28653474,0.204007741,0.0,0.0,0.0,0.0,0.0
3,2017-03-15,0.08284023668639062,0.369076327743817,8.199350196822636e-05,0.15218471654115218,0.0005500739161824857,0.09876835622927521,0.003330809992429979,0.2002069854150674,0.0014187007631323622,0.709808473592571,0.0,0.03754071478647439,0.06415432844622765,0.04937840046623812,0.11644616331194102,0.054687254341229105,0.19834279628601548,0.07173467362234157,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
4,2017-03-29,0.05088757396449706,0.4184285794403007,0.0033430580908900553,0.0010703773080010803,0.005481986641955013,0.0847413021737986,0.007570022710068135,0.19946677267244212,0.0010774263981974987,0.8833430063842136,0.47762747138397504,0.007154068190073588,0.05956500221235493,0.05088442398875849,0.09931715429491925,0.05572205234749503,0.16947198260500537,0.0862560783687682,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
8,2017-04-12,0.19526627218934917,0.1346531321855196,0.013390326191838494,0.06177606177606177,0.05136940276349635,0.0032896468235170256,0.015291445874337624,0.1970108198998428,0.0027945188835503962,0.5443993035403366,0.5431841831425599,0.007078057289946083,0.05970213606618605,0.05023873779537036,0.08570834462735727,0.046439430737184526,0.1881828434734847,0.15248358766145237,0.0,0.0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0.0,0.0,0.0,0.0,0.0
9,2017-08-01,0.3372781065088758,0.707251416073131,0.003753420299625901,0.012519591727512519,0.020115202980400496,0.03376493499657876,0.016502649507948525,0.20160288043279595,0.001701011494335024,0.5687753917585607,0.4724245577523413,0.018870584155352227,0.06606998428862682,0.045217245748144855,0.0815640008745148,0.05995643117515012,0.13346449365328464,0.1184816318214363,0.0,0.0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0.0,0.0,0.0,0.0,0.0
10,2017-08-09,0.349112426035503,0.782962256743873,0.0009068518710212935,0.060246951336060235,0.004231818650631179,0.6436654560766356,0.011657834973504921,0.19876082903827172,0.003761165121402547,0.9135229251305862,0.5291363163371489,0.10529781773228916,0.08394199803671368,0.04901440146880824,0.08177398026119805,0.06304697193131184,0.1683817029062393,0.10187088958129904,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
11,2017-08-09,0.4674556213017752,0.37412371712186643,0.07498975704434178,0.009920103979509917,0.011267139021806054,0.01657981999052581,0.02149886449659349,0.1992360273421793,0.01716020419285039,0.9924550203134068,0.5577523413111343,0.005560156237154008,0.10630559808175685,0.04750916357395718,0.07914786745103798,0.03732085290021267,0.11861579941133818,0.1658283912827585,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
12,2017-08-10,0.23076923076923084,0.1677415736638439,0.002920667952678757,0.17426124851867425,0.015508333932372163,0.05923995999789462,0.046934140802422405,0.19901898965529843,0.0010988677195546623,0.9437028438769588,0.6800208116545265,0.008000053813026639,0.05956126713369094,0.05135474614334573,0.07851245109003546,0.046815492067122086,0.1498822544928284,0.0954581351566659,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
13,2017-08-10,0.43786982248520717,0.47170657843082275,0.01581701809098229,0.2537941052792538,0.007432248708420195,0.1088478340965314,0.0010598031794095408,0.20117337427349485,0.001161404906846391,0.9767846778874056,0.17065556711758584,0.03634591611446031,0.06448994479056822,0.05606393062688702,0.08506730079605762,0.058938823421929236,0.14704174631052655,0.07885167089809235,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
14,2017-08-12,0.009467455621301857,0.9792496214457964,0.002984796136255123,0.18022477923468017,0.030394709289060722,0.004289699457866197,0.022255866767600305,0.20080555250941254,0.0010291834251438797,0.885664538595473,0.6087408949011447,0.003227660493614934,0.0695172912991763,0.058856104650524176,0.08015615513248256,0.06391164847876799,0.13321300474844996,0.07018940975455099,0.0,0.0,0.108486679,0.32957978600000004,0.306509201,0.185846379,0.069577955,0.0,0.0,0.0,0.0,0.0
